Script|First_Line_Doc
gts.sql|Gather Table Statistics for table &1....
gtsh.sql|Gather Table Statistics with histograms for table &1....
h.sql|No documentation found
h2s.sql|No documentation found
ha.sql|No documentation found
hash.sql|Purpose:     Show the hash value, SQL_ID and child number of previously
heap6.sql|No documentation found
help.sql|Purpose:     Help
hex.sql|No documentation found
hexop.sql|No documentation found
hg.sql|No documentation found
hint.sql|No documentation found
hintclass.sql|No documentation found
hintfeature.sql|No documentation found
hinth.sql|Purpose:     Display the areas / features in Oracle kernel that a hint affects
hist2.sql|No documentation found
hist_generic.sql|No documentation found
hof.sql|No documentation found
hoff.sql|No documentation found
hon.sql|No documentation found
hp.sql|No documentation found
hr.sql|No documentation found
hs.sql|No documentation found
hsel.sql|No documentation found
html.sql|No documentation found
html2.sql|No documentation found
html3.sql|No documentation found
html_.sql|No documentation found
html_settings.sql|No documentation found
htmloff.sql|No documentation found
htmlon.sql|No documentation found
htmlon_.sql|No documentation found
htmlrun.sql|No documentation found
htmlset.sql|No documentation found
htmlset2.sql|No documentation found
i.sql|Purpose:     the Who am I script (also sets terminal title)
i2h.sql|Purpose:     Advanced Oracle Troubleshooting Seminar demo script
id.sql|No documentation found
ii.sql|No documentation found
ima.sql|Querying GV$INMEMORY_AREA...
imseg.sql|No documentation found
imtab.sql|No documentation found
imu.sql|Purpose:     Display In-Memory Undo (IMU) buffer usage
ind.sql|No documentation found
ind2.sql|Display indexes where table or index name matches &1....
indf.sql|Display indexes where table or index name matches &1....
indroot.sql|No documentation found
init.sql|Purpose:     Initializes sqlplus variables for 156 character terminal width and other settings.
intopt.sql|Show internal compilation environment parameters which are not related to KSP parameters
inv.sql|Show invalid objects, indexes, index partitions and index subpartitions....
jf.sql|Display bloom filters used by a PX session from V$SQL_JOIN_FILTER...
jobdisable.sql|No documentation found
jobs.sql|No documentation found
jobsr.sql|No documentation found
kcbbes.sql|List background I/O write priorities and reasons from X$KCBBES...
kcboqh.sql|Calling segcached.sql
kcbsw.sql|No documentation found
kcbsw_10.sql|No documentation found
kcbsw_11.sql|No documentation found
kcbsw_9.sql|No documentation found
kcbwds.sql|No documentation found
kcbwh.sql|No documentation found
kghlu.sql|No documentation found
kglbroken.sql|Purpose:     
kgllk.sql|No documentation found
kglob.sql|No documentation found
kglpn.sql|No documentation found
kill.sql|Purpose:     Generates commands for killing selected sessions
kill_cpu.sql|prompt Jonathan Lewis'es kill_cpu script
killi.sql|Purpose:     Generates commands for killing selected sessions
ksllw.sql|No documentation found
ksmdd.sql|No documentation found
ksminfo.sql|No documentation found
ksmlru.sql|No documentation found
ksmsp.sql|No documentation found
ksmsp2.sql|No documentation found
ksqeq.sql|No documentation found
ksqrs.sql|No documentation found
kstex.sql|No documentation found
ksupr.sql|No documentation found
ksuse.sql|No documentation found
ktuxe.sql|No documentation found
l.sql|Display Latch stats from V$LATCH for latches matching %&1%
la.sql|Purpose:     Show which latch occupies a given memory address and its stats
last.sql|No documentation found
lastchanged.sql|Purpose:     Detect when a datablock in table was last changed
lastmon.sql|No documentation found
lastmont.sql|No documentation found
latchprof.sql|Purpose:     Perform high-frequency sampling on V$LATCHHOLDER
latchprof_old.sql|Purpose:     Perform high-frequency sampling on V$LATCHHOLDER
latchprofx.sql|Purpose:     Perform high-frequency sampling on V$LATCHHOLDER
lc.sql|Display Latch Children stats from V$LATCH for latches matching %&1%
lco.sql|No documentation found
lcoa.sql|No documentation found
ld.sql|No documentation found
len.sql|No documentation found
length.sql|No documentation found
lh.sql|Purpose:     Show latch holding SIDs and latch details from V$LATCHHOLDER
lhp.sql|Purpose:     Perform high-frequency sampling on V$LATCHHOLDER
lhpx.sql|Purpose:     Perform high-frequency sampling on V$LATCHHOLDER
li.sql|No documentation found
li2.sql|No documentation found
lib.sql|No documentation found
lib2.sql|No documentation found
list.sql|No documentation found
lm.sql|No documentation found
ln.sql|No documentation found
loadset.sql|No documentation found
lob.sql|No documentation found
lock.sql|No documentation found
log.sql|Show redo log layout from V$LOG, V$STANDBY_LOG and V$LOGFILE...
logfile.sql|No documentation found
login.sql|also sets command prompt window/xterm title
long.sql|Show session long operations from v$session_longops for sid &1
lotscommits.sql|This script will issue lots of synchronous commits and will generate undo/redo
lotsfailedparses.sql|No documentation found
lotshparses.sql|Purpose:     Generate Lots of hard parses and shared pool activity 
lotshparses2.sql|Purpose:     Generate Lots of hard parses and shared pool activity 
lotshparses3.sql|Purpose:     Generate Lots of hard parses and shared pool activity 
lotslios.sql|Purpose:     Generate Lots of Logical IOs for testing purposes
lotsparses.sql|No documentation found
lotspios.sql|Purpose:     Generate Lots of Physical IOs for testing purposes
lotssparses.sql|Purpose:     Generate Lots of soft parses and library cache/mutex activity 
lotssparses2.sql|Purpose:     Generate Lots of soft parses and library cache/mutex activity 
lotstempios.sql|No documentation found
lpstat.sql|Purpose:     Show large pool stats by sub-pool from X$KSMLS
lpx.sql|@latchprofx sid,name,func,hmode "&1" "&2" &3
lpxa.sql|No documentation found
lr.sql|No documentation found
lrc.sql|No documentation found
lrc2.sql|No documentation found
ls.sql|No documentation found
lscpu.sql|No documentation found
lt.sql|No documentation found
ltx.sql|No documentation found
m.sql|No documentation found
measure_io.sql|Purpose:     Measure IO reasons and "sizes" from v$iostat_function_detail
mem.sql|Show instance memory usage breakdown from v$memory_dynamic_components
memres.sql|No documentation found
metric.sql|No documentation found
minelog.sql|No documentation found
minmax.sql|Show min/max (low/high) values in column "&1" of table &2....
mkdba.sql|No documentation found
mloc.sql|No documentation found
mods.sql|Display table modifcations from DBA_TAB_MODIFICATIONS for tables &1....
modsx.sql|Display table modifcations from DBA_TAB_MODIFICATIONS for tables &1....
mp.sql|No documentation found
ms.sql|No documentation found
msh.sql|No documentation found
mutexprof.sql|Purpose:     Display KGX mutex sleep history from v$mutex_sleep_history
mycur.sql|No documentation found
mys.sql|Show current session's statistics from V$SESSTAT....
mysid.sql|No documentation found
mysx.sql|No documentation found
netstat.sql|No documentation found
netstat2.sql|No documentation found
newxpa.sql|ACCEPT sqlid FORMAT A13 PROMPT "Enter sql_id: "
nf.sql|No documentation found
nls.sql|No documentation found
nonshared.sql|Purpose:     Print reasons for non-shared child cursors from v$sql_shared_cursor
nonshared2.sql|Purpose:     Show the reasons why more child cursors were created instead of
nonsharedsum.sql|No documentation found
nonsharedsum2.sql|No documentation found
nonsharedsum3.sql|No documentation found
nonsharedsum_html.sql|Purpose:     Print reasons for non-shared child cursors from v$sql_shared_cursor
npstat.sql|Purpose:     Show shared pool stats by sub-pool from X$KSMSS
o.sql|No documentation found
o2.sql|No documentation found
oc.sql|No documentation found
od.sql|SQL> oradebug setmypid
oda.sql|ORADEBUG DOC EVENT ACTION | grep -i &1
odc.sql|No documentation found
oddc.sql|ORADEBUG DOC COMPONENT | grep -i &1
odh.sql|No documentation found
odl.sql|No documentation found
ods.sql|No documentation found
odsid.sql|No documentation found
odt.sql|No documentation found
oerr.sql|No documentation found
oerrh.sql|Opening https://docs.oracle.com/en/error-help/db/ora-&1
oerrign.sql|No documentation found
ofe.sql|ALTER SESSION SET optimizer_features_enable = '&1';;
oi.sql|No documentation found
oid.sql|No documentation found
ol.sql|No documentation found
oprivs.sql|No documentation found
oprivs2.sql|No documentation found
ora_hash.sql|No documentation found
osp.sql|No documentation found
ostack.sql|No documentation found
ostackprof.sql|New usage:
ostackprofu.sql|Purpose:     Take target process stack samples and show an execution profile
ostackprofw.sql|Purpose:     Take target process stack samples and show an execution profile
