Script|First_Line_Doc
ash/asqlmonx.sql|Purpose:     Report SQL-monitoring-style drill-down into where in an execution plan the execution time is spent
ash/bash_wait_chains.sql|Purpose:     Display ASH wait chains (multi-session wait signature, a session
ash/bashtop.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/bevent_hist.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/bevent_hist_micro.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/bshortmon_logfilesync.sql|No documentation found
ash/btime_model_phases.sql|No documentation found
ash/cashtop.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/create_ash_without_timestamps.sql|No documentation found
ash/daplanline.sql|Purpose:     Report response time consumption data from DBA_HIST_ACTIVE_SESS_HISTORY
ash/dash_wait_chains.sql|Purpose:     Display ASH wait chains (multi-session wait signature, a session
ash/dashpeak.sql|Purpose:     
ash/dashpeaktop.sql|Purpose:     
ash/dashtop.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/dashtopsum.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/dashtopsum_pga.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/dasqlmon.sql|Purpose:     Report SQL-monitoring-style drill-down into where in an execution plan the execution time is spent
ash/dasqlmonx.sql|Purpose:     Report SQL-monitoring-style drill-down into where in an execution plan the execution time is spent
ash/devent_hist.sql|Purpose:     Display wait event duration histogram from DBA_HIST_ACTIVE_SESS_HISTORY
ash/devent_hist_micro.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/disk_rereads.sql|No documentation found
ash/event_hist.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/event_hist_cell.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/event_hist_micro.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/evet_hist_cell.sql|No documentation found
ash/examples/ash10.sql|No documentation found
ash/examples/ash11.sql|No documentation found
ash/examples/ash12a.sql|No documentation found
ash/examples/ash13.sql|No documentation found
ash/examples/ash13a.sql|No documentation found
ash/examples/ash2.sql|No documentation found
ash/examples/ash3.sql|FROM_TIME=&from_time TO_TIME=&to_time
ash/examples/ash5.sql|No documentation found
ash/examples/ash6.sql|No documentation found
ash/examples/ash7.sql|No documentation found
ash/examples/ash8.sql|No documentation found
ash/examples/ash9.sql|No documentation found
ash/examples/ashrelated.sql|No documentation found
ash/gashtop.sql|usage: @ashtop sql_id
ash/gasqlmon.sql|No documentation found
ash/gen_ash_report_html.sql|No documentation found
ash/gen_ash_report_text.sql|No documentation found
ash/old.event_hist_cell.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/old_devent_hist.sql|https://www.slideshare.net/jberesni/ash-architecture-and-advanced-usage-rmoug2014-36611678
ash/perfsheet_ash.sql|No documentation found
ash/rowsource_events.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by 
ash/sample_drift.sql|No documentation found
ash/shortmon.sql|No documentation found
ash/shortmon_cell.sql|No documentation found
ash/shortmon_logfilesync.sql|No documentation found
ash/shortmon_numblocks.sql|No documentation found
ash/sqlexec_duration_buckets.sql|No documentation found
ash/sqlexec_longer_than.sql|No documentation found
ash/sqlid_activity.sql|No documentation found
ash/sqlid_dbtime_buckets.sql|No documentation found
ash/sqlid_plan_activity.sql|No documentation found
ash/time_model.sql|No documentation found
ash/w.sql|What's going on? Showing top timed events of last minute from ASH...
awr/awr_evh.sql|No documentation found
awr/awr_last.sql|No documentation found
awr/awr_lasth.sql|No documentation found
awr/awr_log_file_sync.sql|No documentation found
awr/awr_mem_resize.sql|No documentation found
awr/awr_procmem.sql|No documentation found
awr/awr_sqlid.sql|No documentation found
awr/awr_sqlid_binds.sql|No documentation found
awr/awr_sqlstats.sql|No documentation found
awr/awr_sqlstats_per_exec.sql|No documentation found
awr/awr_sqlstats_unstable.sql|usage examples:
awr/awr_sysmetric_history.sql|No documentation found
awr/awr_sysmetric_summary.sql|No documentation found
awr/awr_sysstat.sql|No documentation found
awr/awr_system_event.sql|No documentation found
awr/create_event_histogram_view.sql|No documentation found
awr/dbload.sql|No documentation found
awr/dstat.sql|No documentation found
awr/gen_awr_report.sql|Listing latest AWR snapshots ...
awr/gen_perfhub_report.sql|No documentation found
awr/get_settings.sql|No documentation found
awr/other_xml.sql|No documentation found
awr/settings.sql|AWR Data Retention (Includes DBA_HIST ASH):
